geografia,desfecho,modelo,termo,or,ic95_inf,ic95_sup,p_valor,significancia
RMBH,Pelo menos 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.R$1620 a R$2600]",1.3038134379488535,0.6067680132603419,2.801613538989623,0.496643517341277,
RMBH,Pelo menos 1,Sociodemográfico,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",1.1145472061565738,0.5383043109054366,2.3076454146577374,0.7702414318435866,
RMBH,Pelo menos 1,Sociodemográfico,idade1,0.9759463221002468,0.9385565848274695,1.0148255726063518,0.2218639710223963,
RMBH,Pelo menos 1,Geral,Intercept,0.2570926038219385,0.013352311814036469,4.950199475603984,0.368069143277178,
RMBH,Pelo menos 1,Geral,"C(sexo, Treatment('Masculino'))[T.Feminino]",2.926794899333234,1.5724344838558049,5.4476854016568135,0.0007043961968030454,***
RMBH,Pelo menos 1,Geral,"C(raca, Treatment('Brancos'))[T.Negros]",1.5323747409156243,0.8502800850760529,2.761645706880451,0.1555297749001058,
RMBH,Pelo menos 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Casado/a]",2.2434326282700683,0.8516066239107316,5.9099939059590065,0.10206154995782975,
RMBH,Pelo menos 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Separado/a]",0.9480856088314116,0.2824850706486432,3.1819958471052945,0.9312325834395023,
RMBH,Pelo menos 1,Geral,"C(estadocivil, Treatment('Solteiro/a'))[T.Viúvo/a]",2.049363528387946,0.7322318804979687,5.735738887291377,0.17179821237313464,
RMBH,Pelo menos 1,Geral,"C(renda, Treatment('Até R$1620'))[T.Acima de R$4600]",0.918500727035322,0.3988800070315001,2.11503101356943,0.8416632521290057,
RMBH,Pelo menos 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$1620 a R$2600]",1.1280724117691983,0.518047841612111,2.456428275494287,0.7614962791959031,
RMBH,Pelo menos 1,Geral,"C(renda, Treatment('Até R$1620'))[T.R$2300 a R$4600]",0.9952840009487155,0.47500944725431565,2.085411665537106,0.9900063340726591,
RMBH,Pelo menos 1,Geral,"C(dif_andar, Treatment('Sem mobilidade reduzida'))[T.Com mobilidade reduzida]",0.4632737250637534,0.2403335941307815,0.8930193263687297,0.021569209370322917,*
RMBH,Pelo menos 1,Geral,idade1,0.9819713198867739,0.943757236702821,1.0217327460703862,0.36900375171109023,
RMBH,Mais de 1,Demográfico,Intercept,0.00830051887013012,6.369686019681663e-05,1.081664202921412,0.05380906856497575,+
RMBH,Mais de 1,Demográfico,"C(sexo, Treatment('Masculino'))[T.Feminino]",4.121902622662853,1.431869419256716,11.865663867264143,0.008654687194342387,**
