sexo,raca,idade1,estadocivil,renda,dif_andar,religiao,religiao2
Feminino,Brancos,61,Viúvo/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,69,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Feminino,Negros,67,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Negros,62,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,67,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,75,Casado/a,,Sem mobilidade reduzida,0,0
Feminino,Brancos,69,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,80,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,70,Casado/a,Acima de R$4600,Sem mobilidade reduzida,1,0
Masculino,Brancos,67,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,68,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,69,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,68,Casado/a,,Com mobilidade reduzida,0,0
Feminino,Negros,62,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,73,Separado/a,,Com mobilidade reduzida,0,0
Masculino,Brancos,71,Casado/a,Acima de R$4600,Sem mobilidade reduzida,1,0
Feminino,Negros,77,Viúvo/a,Até R$1620,Com mobilidade reduzida,1,0
Masculino,Negros,63,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,74,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,93,Casado/a,Acima de R$4600,Com mobilidade reduzida,0,0
Feminino,Negros,66,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,71,Casado/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Masculino,Brancos,65,Casado/a,Acima de R$4600,Sem mobilidade reduzida,1,0
Feminino,Negros,61,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,66,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,82,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,75,Casado/a,,Sem mobilidade reduzida,1,0
Feminino,Brancos,82,Separado/a,Até R$1620,Com mobilidade reduzida,1,0
Feminino,Brancos,75,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,80,Casado/a,,Sem mobilidade reduzida,0,0
Feminino,Negros,72,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,77,Casado/a,Até R$1620,Com mobilidade reduzida,1,1
Feminino,Brancos,70,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Negros,80,Separado/a,,Com mobilidade reduzida,0,0
Masculino,Negros,60,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,63,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,90,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,84,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,65,Solteiro/a,,Sem mobilidade reduzida,0,0
Feminino,Brancos,62,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Feminino,Negros,76,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,68,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Brancos,77,Solteiro/a,,Sem mobilidade reduzida,0,0
Masculino,Negros,64,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,78,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,66,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,84,Viúvo/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Brancos,80,Viúvo/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,72,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,77,Separado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Brancos,72,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,66,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,72,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Brancos,67,Viúvo/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,72,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,63,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Feminino,Negros,64,Casado/a,Até R$1620,Com mobilidade reduzida,1,1
Feminino,Brancos,82,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,72,Separado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,76,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,62,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,66,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,68,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,,74,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Brancos,77,Separado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,73,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Brancos,63,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,76,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,60,Solteiro/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,71,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,63,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,63,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,64,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,61,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Feminino,Negros,77,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,72,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Negros,84,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Brancos,68,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,71,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,73,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,70,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,62,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,1
Masculino,Negros,67,Separado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,66,Solteiro/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,89,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,61,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,67,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Negros,61,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Feminino,Negros,80,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,72,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,1,0
Feminino,Brancos,77,Casado/a,,Sem mobilidade reduzida,0,0
Feminino,Negros,73,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,72,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,1,1
Feminino,Brancos,61,Casado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,63,Viúvo/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,69,,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,61,Casado/a,Até R$1620,Sem mobilidade reduzida,1,0
Masculino,Brancos,61,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Negros,70,Viúvo/a,Até R$1620,Sem mobilidade reduzida,1,0
Feminino,,64,Solteiro/a,,Sem mobilidade reduzida,0,0
Masculino,Brancos,61,Casado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,69,Solteiro/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,64,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
