code_tract,populacao
310620005650212,728
310620005650213,466
310620005650214,722
310620005650215,350
310620005650217,52
310620005650218,322
310620005650219,653
310620005650220,637
310620005650221,648
310620005650222,575
310620005650223,220
310620005650224,367
310620005650225,550
310620005650226,379
310620005650227,723
310620005650230,564
310620005650231,721
310620005650232,583
310620005650233,629
310620005650234,416
310620005650235,558
310620005650236,641
310620005650237,726
310620005650238,595
310620005650239,628
310620005650241,738
310620005650243,455
310620005650244,546
310620005650246,689
310620005650248,673
310620005650249,609
310620005650251,767
310620005650252,804
310620005650253,695
310620005650254,608
310620005650255,444
310620005650257,498
310620005650259,444
310620005650260,452
310620005650263,743
310620005650268,526
310620005650291,155
310620005650292,249
310620005650312,459
310620005650315,711
310620005650316,481
310620005650317,564
310620005650318,716
310620005650319,721
310620005650320,548
310620005650321,576
310620005650322,502
310620005650324,446
310620005650325,729
310620005650326,501
310620005650327,707
310620005650328,638
310620005650329,534
310620005650330,632
310620005650331,781
310620005650332,528
310620005650333,243
310620005650334,537
310620005650335,1015
310620005650336,613
310620005650337,479
310620005650338,479
310620005650339,632
310620005650340,525
310620005650341,661
310620005650342,683
310620005650343,519
310620005650344,461
310620005650345,303
310620005650346,670
310620005650347,511
310620005650348,151
310620005650349,140
310620005650350,702
310620005650351,710
310620005650352,729
310620005650353,585
310620005650354,237
310620005650355,346
310620005650356,795
310620005650357,728
310620005650358,295
310620005650359,348
310620005650360,394
310620005650361,402
310620005650362,387
310620005650363,446
310620005650364,518
310620005650365,662
310620005650366,518
310620005650367,743
310620005650368,505
310620005650369,374
310620005650370,382
310620005650371,655
310620005650372,352
310620005650373,550
310620005650374,478
310620005650375,314
310620005650376,416
310620005650377,432
310620005650378,391
310620005650379,420
310620005650380,414
310620005650381,491
310620005650382,317
310620005650383,585
310620005650384,328
310620005650385,573
310620005650386,509
310620005650387,370
310620005650388,512
310620005650390,684
310620005650391,673
310620005650392,628
310620005650393,531
310620005650394,620
310620005650395,526
310620005650396,750
310620005650397,559
310620005650398,402
310620005650399,546
310620005650400,640
310620005650401,535
310620005650402,670
310620005650403,339
310620005650404,754
310620005650405,492
310620005650406,536
310620005650407,515
310620005650408,489
310620005650409,476
310620005650410,500
310620005650412,523
310620005650413,678
310620005650414,400
310620005650415,23
310620005650416,54
310620005650417,21
310620005650418,374
310620005650419,542
310620005650420,562
310620005650421,443
